Date,Hour,Minute,Volume
20190202,17,0,15632.40
20190202,18,0,16176.50
20190202,19,0,16395.70
20190202,20,0,15743.60
20190202,21,0,15374.90
20190202,22,0,14622.70
20190202,23,0,13678.10
20190202,24,0,12829.50
20190203,1,0,12546.50
20190203,2,0,12317.30
20190203,3,0,12374.80
20190203,4,0,12358.20
20190203,5,0,12464.30
20190203,6,0,12811.40
20190203,7,0,12841.10
20190203,8,0,13317.00
20190203,9,0,13876.60
20190203,10,0,13861.80
20190203,11,0,13815.90
20190203,12,0,13716.50
20190203,13,0,13920.00
20190203,14,0,13781.60
20190203,15,0,13683.10
20190203,16,0,13950.40
20190203,17,0,14494.20
20190203,18,0,15520.90
20190203,19,0,15236.40
20190203,20,0,14737.50
20190203,21,0,14109.90
20190203,22,0,13327.00
20190203,23,0,12822.80
20190203,24,0,11900.00
20190204,1,0,12061.80
20190204,2,0,11994.60
20190204,3,0,11730.60
20190204,4,0,11594.80
20190204,5,0,12088.80
20190204,6,0,12704.10
20190204,7,0,14152.00
20190204,8,0,15145.30
20190204,9,0,14890.00
20190204,10,0,14573.20
20190204,11,0,14407.20
20190204,12,0,13958.90
20190204,13,0,13891.20
20190204,14,0,13842.60
20190204,15,0,13729.00
20190204,16,0,13959.90
20190204,17,0,14699.30
20190204,18,0,15697.90
20190204,19,0,15711.10
20190204,20,0,15547.70
20190204,21,0,14953.20
20190204,22,0,14017.80
20190204,23,0,12683.20
20190204,24,0,11434.00
20190205,1,0,11559.60
20190205,2,0,11704.80
20190205,3,0,11503.80
20190205,4,0,11453.60
20190205,5,0,11529.50
20190205,6,0,12198.40
20190205,7,0,13674.70
20190205,8,0,14572.90
20190205,9,0,14288.60
20190205,10,0,14037.70
20190205,11,0,13792.10
20190205,12,0,13586.20
20190205,13,0,13360.40
20190205,14,0,13344.20
20190205,15,0,13341.60
20190205,16,0,13572.90
20190205,17,0,14226.80
20190205,18,0,15494.60
20190205,19,0,15417.60
20190205,20,0,15061.80
20190205,21,0,14412.10
